Order ID,Order Date,Ship Date,Customer ID,Product ID,Sales,Quantity,Profit,Shipping Cost,Discount,Order Priority,Ship Mode
IN-2012-DP131057-41215,2012-11-02,2012-11-04,DP-131057,OFF-AP-3579,2526.93,5,561.48,689.8,0.1,Critical,Second Class
CA-2013-AH10030140-41635,2013-12-27,2013-12-31,AH-100301404,OFF-ST-4291,323.1,2,61.39,26.7,0,Medium,Standard Class
CG-2012-AH1003033-41165,2012-09-13,2012-09-14,AH-1003033,TEC-PH-3148,3817.26,6,1068.66,678.15,0,High,First Class
CA-2012-AH10030140-41041,2012-05-12,2012-05-18,AH-100301404,FUR-CH-4840,279.46,6,20.96,11.69,0.2,Medium,Standard Class
CA-2012-AH10030140-41273,2012-12-30,2012-12-31,AH-100301406,TEC-AC-6340,34.77,3,11.47,8.22,0,High,First Class
ES-2015-PO18865139-42018,2015-01-14,2015-01-18,PO-18865139,TEC-CO-3598,4141.02,13,1697.67,668.96,0,High,Standard Class
IN-2012-DL128657-40918,2012-01-10,2012-01-11,DL-128657,TEC-PH-5356,2875.1,5,511.1,665.27,0.1,Medium,First Class
ID-2014-JB1600059-41873,2014-08-22,2014-08-26,JB-1600059,TEC-PH-5268,3200.6,6,-77.2,660.87,0.17,High,Standard Class
IN-2015-BF1100558-42319,2015-11-11,2015-11-15,BF-1100558,TEC-PH-5269,4518.78,7,632.52,658.69,0,High,Standard Class
IN-2015-VG2180558-42273,2015-09-26,2015-09-28,VG-2180558,FUR-BO-5951,5667.87,13,2097.03,658.35,0,Medium,Second Class
ES-2013-GT14710139-41621,2013-12-13,2013-12-17,GT-14710139,TEC-PH-5267,5785.02,9,404.73,656.73,0,High,Standard Class
IT-2012-ZC2191048-41174,2012-09-22,2012-09-24,ZC-2191048,OFF-AP-3874,3018.62,7,377.24,655.91,0.2,Critical,First Class
CA-2014-AH10030140-41719,2014-03-21,2014-03-26,AH-100301408,FUR-FU-4072,86.45,7,38.04,5.73,0,Medium,Second Class
IT-2014-EB1384045-41706,2014-03-08,2014-03-08,EB-1384045,FUR-CH-5441,2092.5,5,720.75,652.98,0.1,Critical,Same Day
IN-2015-AP1091527-42244,2015-08-28,2015-08-29,AP-1091527,FUR-CH-5380,2761.2,6,110.34,644.75,0,High,First Class
IN-2015-SW2027558-42125,2015-05-01,2015-05-01,SW-2027558,TEC-MA-5007,2174.13,7,500.01,637.86,0,Critical,Same Day
MX-2015-JH15820141-42356,2015-12-18,2015-12-20,JH-15820141,FUR-CH-4531,3473.14,11,868.12,634.529,0,High,Second Class
US-2012-AH10030140-41206,2012-10-24,2012-10-27,AH-100301404,OFF-BI-4372,49.41,4,18.53,2.84,0.2,High,First Class
IR-2015-TG1164060-42265,2015-09-18,2015-09-21,TG-1164060,TEC-CO-3678,2108.64,8,527.04,630.97,0,Critical,First Class
CA-2012-AH10030140-41273,2012-12-30,2012-12-31,AH-100301406,OFF-LA-3231,18.9,3,8.69,1.3,0,High,First Class
IN-2012-PB19210127-41259,2012-12-16,2012-12-19,PB-19210127,FUR-BO-5762,2197.5,5,153.75,627.27,0,Critical,First Class
MZ-2014-DG330087-41991,2014-12-18,2014-12-18,DG-330087,TEC-PH-5269,2582.16,4,593.88,627.17,0,High,Same Day
IN-2013-SG2047058-41424,2013-05-30,2013-05-31,SG-2047058,TEC-CO-4590,1526.52,4,732.72,625.77,0,Critical,First Class
CA-2012-AH10030140-41020,2012-04-21,2012-04-23,AH-100301406,OFF-BI-2937,9.91,3,3.35,1.2,0.2,Critical,Second Class
IN-2013-GP1474058-41419,2013-05-25,2013-05-28,GP-1474058,FUR-TA-3766,1745.34,2,226.86,616.27,0,Critical,Second Class
IN-2015-MW182207-42221,2015-08-05,2015-08-06,MW-182207,OFF-AP-3577,4191.51,9,1164.27,614.34,0.1,High,First Class
CA-2012-AH10030140-41041,2012-05-12,2012-05-18,AH-100301404,OFF-PA-4014,8,2,3.84,1.15,0,Medium,Standard Class
IN-2015-CS1246011-42074,2015-03-11,2015-03-13,CS-1246011,FUR-BO-5760,3063.27,7,581.91,609.24,0,High,Second Class
CA-2015-AH10030140-42357,2015-12-19,2015-12-23,AH-100301406,OFF-AR-3276,18.7,7,2.34,1.13,0.2,Medium,Standard Class
ES-2015-MS1798048-42227,2015-08-11,2015-08-16,MS-1798048,TEC-PH-5839,4473,7,313.11,604.4,0,Medium,Second Class
IT-2014-KC1667548-41882,2014-08-31,2014-09-03,KC-1667548,TEC-PH-3130,1502.01,9,225.18,600.21,0,Critical,First Class
IN-2015-DB1340527-42022,2015-01-18,2015-01-23,DB-1340527,FUR-CH-5774,5049,11,656.37,595.5,0,High,Standard Class
CA-2015-AS10045140-42007,2015-01-03,2015-01-05,AS-100451408,TEC-MA-3788,695.7,2,-27.83,160.19,0.5,High,First Class
IT-2015-DK13090120-42345,2015-12-07,2015-12-08,DK-13090120,FUR-BO-5760,2188.05,5,1050.15,593.91,0,High,First Class
IN-2015-CS1184558-42354,2015-12-16,2015-12-19,CS-1184558,FUR-TA-3779,1920.36,4,652.92,592.77,0,Critical,First Class
MX-2015-EM1420082-42328,2015-11-20,2015-11-20,EM-1420082,TEC-PH-5839,1704,4,119.28,592.726,0,Critical,Same Day
UP-2012-DW3480137-41221,2012-11-08,2012-11-10,DW-3480137,FUR-TA-3771,1858.68,4,130.08,590.56,0,Critical,First Class
IN-2014-AS1022527-41797,2014-06-07,2014-06-09,AS-1022527,FUR-CH-4530,3298.26,7,1055.25,589.36,0,High,First Class
MX-2012-ST2053093-41234,2012-11-21,2012-11-22,ST-2053093,OFF-AP-4497,2443.48,13,121.94,589.293,0,Medium,First Class
CG-2014-BW106533-41727,2014-03-29,2014-03-31,BW-106533,FUR-CH-4530,3808.8,8,1523.52,588.13,0,High,Second Class
IN-2015-LA1678059-42242,2015-08-26,2015-08-27,LA-1678059,FUR-TA-3422,3427.15,7,-452.81,586.57,0.47,High,First Class
ES-2013-AB10150139-41537,2013-09-20,2013-09-22,AB-10150139,TEC-PH-5355,3441.69,6,38.07,585.25,0.1,High,Second Class
IN-2015-JH158207-42140,2015-05-16,2015-05-18,JH-158207,TEC-PH-3147,2863.35,5,858.9,581.88,0.1,Critical,Second Class
CA-2015-AS10045140-42218,2015-08-02,2015-08-08,AS-100451402,TEC-MA-3329,1439.98,3,-264,103.62,0.4,Medium,Standard Class
ES-2014-BE1141048-41967,2014-11-24,2014-11-25,BE-1141048,TEC-CO-3599,1487.4,10,728.7,580.98,0,Critical,First Class
IN-2012-SZ2003527-41221,2012-11-08,2012-11-10,SZ-2003527,TEC-CO-6010,3200.04,9,1183.95,576.71,0,Medium,Second Class
IN-2012-RM1937558-41209,2012-10-27,2012-10-27,RM-1937558,FUR-CH-5380,2301,5,91.95,573.27,0,Critical,Same Day
ES-2015-HG1484545-42327,2015-11-19,2015-11-23,HG-1484545,FUR-CH-4654,5729.35,14,63.55,572.95,0.1,High,Standard Class
MO-2015-DP310586-42305,2015-10-28,2015-10-30,DP-310586,TEC-CO-3710,5301.24,14,2597.28,568.45,0,Medium,Second Class
CA-2014-AS10045140-41908,2014-09-26,2014-09-28,AS-100451404,FUR-BO-3176,477.67,2,84.29,43.01,0.15,Critical,First Class
US-2015-AS10045140-42252,2015-09-05,2015-09-06,AS-100451404,OFF-BI-3324,88.07,7,-58.72,23.88,0.7,High,First Class
ES-2014-JB1600048-41668,2014-01-29,2014-02-05,JB-1600048,TEC-PH-5268,3219.9,5,965.85,564.25,0,Low,Standard Class
ID-2013-AM1070559-41535,2013-09-18,2013-09-21,AM-1070559,OFF-AP-4501,2487.81,6,-269.79,562.14,0.17,Critical,Second Class
MO-2014-AB25586-41966,2014-11-23,2014-11-23,AB-25586,OFF-AP-4745,2266.44,4,113.28,556.45,0,Medium,Same Day
IN-2013-RP192707-41438,2013-06-13,2013-06-13,RP-192707,TEC-CO-3611,3068.36,9,1124.9,555.77,0.1,High,Same Day
IN-2014-BK1126011-41940,2014-10-28,2014-10-31,BK-1126011,FUR-BO-4849,3728.43,9,1192.86,553.31,0,Medium,First Class
IN-2014-JM1525027-41985,2014-12-12,2014-12-14,JM-1525027,TEC-CO-3678,1581.48,6,0,550.74,0,High,First Class
IN-2013-GP1474058-41419,2013-05-25,2013-05-28,GP-1474058,TEC-PH-5356,1916.73,3,498.33,548.4,0,Critical,Second Class
CA-2015-AS10045140-42281,2015-10-04,2015-10-09,AS-100451404,FUR-TA-5066,171.29,3,-6.42,12.65,0.2,Medium,Standard Class
ES-2014-NZ1856545-41975,2014-12-02,2014-12-02,NZ-1856545,OFF-AP-4508,2432.16,5,513.36,546.9,0.1,Critical,Same Day
CA-2015-AS10045140-42007,2015-01-03,2015-01-05,AS-100451408,OFF-BI-3308,28.85,6,-21.16,5.35,0.7,High,First Class
ID-2014-SC20695102-41667,2014-01-28,2014-01-30,SC-20695102,FUR-CH-5443,2465.82,7,197.19,546.49,0.25,High,First Class
IN-2013-NC186257-41401,2013-05-07,2013-05-07,NC-186257,FUR-TA-3422,1847.52,2,738.96,545.89,0,High,Same Day
ES-2014-NF183858-41970,2014-11-27,2014-11-29,NF-183858,FUR-BO-4849,2899.89,7,927.78,541.59,0,High,First Class
IN-2013-NZ185657-41606,2013-11-28,2013-12-02,NZ-185657,FUR-CH-5774,2891.7,7,96.39,541.57,0.1,Medium,Second Class
IT-2013-PM1894045-41546,2013-09-29,2013-09-29,PM-1894045,TEC-MA-5572,2016.85,9,-0.05,540.77,0.15,Critical,Same Day
ES-2014-MZ1733545-41885,2014-09-03,2014-09-05,MZ-1733545,OFF-AP-4503,3155.54,7,34.94,539.94,0.1,High,Second Class
CG-2014-HM498033-41846,2014-07-26,2014-08-01,HM-498033,TEC-PH-5268,3856.14,6,1465.2,533.99,0,Low,Standard Class
IN-2015-RW195407-42327,2015-11-19,2015-11-25,RW-195407,TEC-PH-3806,3524.47,6,861.37,531.28,0.1,Low,Standard Class
ES-2013-LH1715545-41444,2013-06-19,2013-06-19,LH-1715545,TEC-PH-5840,2167.3,4,790.42,531.09,0.15,High,Same Day
MX-2013-FH1436582-41558,2013-10-11,2013-10-14,FH-1436582,TEC-PH-5839,2556,6,178.92,530.486,0,Medium,First Class
ES-2012-KM1666048-41129,2012-08-08,2012-08-10,KM-1666048,TEC-CO-5999,1469.25,5,308.4,527.87,0,Critical,First Class
ES-2012-PO1886545-41217,2012-11-04,2012-11-08,PO-1886545,TEC-PH-3807,4448.83,8,1517.71,527.85,0.15,High,Second Class
US-2012-AS10045140-41116,2012-07-26,2012-08-01,AS-100451406,OFF-PA-6512,65.78,11,32.23,4.36,0,Medium,Standard Class
MX-2014-AB1006028-41755,2014-04-26,2014-04-28,AB-1006028,FUR-BO-3891,2472.66,9,914.76,523.466,0,High,First Class
IN-2014-DB130607-41999,2014-12-26,2014-12-26,DB-130607,OFF-AP-3575,3739.18,8,747.82,522.79,0.1,High,Same Day
IT-2014-VM2168591-41711,2014-03-13,2014-03-13,VM-2168591,FUR-CH-5442,2570.87,11,-2211.17,520.89,0.5,High,Same Day
CA-2014-AS10045140-41727,2014-03-29,2014-04-01,AS-100451408,OFF-ST-4516,31.4,2,7.85,3.81,0,Medium,First Class
ES-2013-DM1352548-41369,2013-04-05,2013-04-05,DM-1352548,TEC-PH-3149,2875.77,9,-1783.08,516.63,0.5,High,Same Day
ES-2013-NM18520120-41634,2013-12-26,2013-12-28,NM-18520120,FUR-BO-5948,1741.8,4,261.24,515.24,0,Critical,Second Class
IN-2014-LC168857-41747,2014-04-18,2014-04-19,LC-168857,TEC-CO-6012,1601.64,5,587.19,511.47,0.1,Critical,First Class
IN-2012-RO1978027-41052,2012-05-23,2012-05-25,RO-1978027,OFF-AP-4738,3670.8,7,367.08,510.72,0,High,Second Class
CA-2015-AS10045140-42218,2015-08-02,2015-08-08,AS-100451402,OFF-PA-6557,36.29,7,12.7,1.99,0.2,Medium,Standard Class
ES-2014-EM1406548-41775,2014-05-16,2014-05-20,EM-1406548,TEC-CO-4593,1900.95,5,589.2,506.89,0,High,Second Class
CA-2015-AS10045140-42007,2015-01-03,2015-01-05,AS-100451408,OFF-BI-3185,15.66,5,-12.53,1.56,0.7,High,First Class
IT-2012-ON1871545-40955,2012-02-16,2012-02-19,ON-1871545,FUR-CH-5774,4544.1,11,1868.13,506.27,0.1,Medium,Second Class
IN-2014-VS2182027-41790,2014-05-31,2014-06-02,VS-2182027,FUR-BO-3639,1455.12,4,116.4,504.56,0,Critical,First Class
IN-2014-CM121157-41913,2014-10-01,2014-10-02,CM-121157,TEC-CO-4790,1943.19,6,258.93,499.62,0.1,High,First Class
CA-2015-AB10060140-42315,2015-11-07,2015-11-14,AB-100601404,FUR-TA-4622,2036.86,7,366.63,524.76,0,Low,Standard Class
CA-2014-AB10060140-41884,2014-09-02,2014-09-04,AB-100601406,OFF-BI-4340,4355.17,4,1415.43,82.67,0.2,Critical,First Class
ID-2014-JK153257-41984,2014-12-11,2014-12-14,JK-153257,TEC-CO-3709,1695.87,5,-37.83,498.62,0.1,Critical,Second Class
IT-2015-RP1927045-42081,2015-03-18,2015-03-21,RP-1927045,TEC-CO-5998,1505.98,6,-265.76,498.52,0.15,Critical,Second Class
IN-2015-DW1354078-42357,2015-12-19,2015-12-20,DW-1354078,TEC-PH-3806,1954.17,3,312.66,498.38,0,Critical,First Class
CA-2015-AB10060140-42315,2015-11-07,2015-11-14,AB-100601404,FUR-CH-4613,449.57,2,-73.05,47.81,0.2,Low,Standard Class
US-2014-AB10060140-41712,2014-03-14,2014-03-19,AB-100601408,OFF-AP-4221,160.32,2,44.89,13.75,0,Medium,Standard Class
CA-2015-AB10060140-42315,2015-11-07,2015-11-14,AB-100601404,TEC-AC-5858,108.96,3,32.69,11.57,0,Low,Standard Class
MX-2015-GM1444037-42265,2015-09-18,2015-09-18,GM-1444037,TEC-CO-3587,1213.19,7,508.01,493.409,0.002,Critical,Same Day
IN-2014-SV2081558-41968,2014-11-25,2014-11-27,SV-2081558,TEC-CO-4577,1590.6,5,572.55,493.2,0,Critical,First Class
IN-2014-MM1792027-41950,2014-11-07,2014-11-10,MM-1792027,TEC-AC-3405,2330.64,9,1025.46,492.79,0,Critical,First Class
IN-2015-JK1612059-42204,2015-07-19,2015-07-23,JK-1612059,FUR-BO-5761,3278.58,8,140.82,492.28,0.07,High,Standard Class
ID-2013-EM14200130-41502,2013-08-16,2013-08-16,EM-14200130,TEC-PH-5268,3741.52,7,946.63,491.91,0.17,High,Same Day
CA-2015-AB10060140-42314,2015-11-06,2015-11-08,AB-100601402,OFF-PA-6214,67.8,10,31.19,7.97,0,High,First Class
IN-2013-PM1894059-41284,2013-01-10,2013-01-14,PM-1894059,FUR-BO-5787,3637.6,10,156.4,487.86,0.07,High,Standard Class
MX-2014-AT1043582-41667,2014-01-28,2014-01-30,AT-1043582,OFF-AP-4736,2455.88,7,785.82,487.476,0,Medium,First Class
ID-2013-AB1001527-41439,2013-06-14,2013-06-17,AB-1001527,TEC-MA-6150,1024.68,8,-286.92,487.32,0.5,Critical,First Class
CA-2015-AB10060140-42314,2015-11-06,2015-11-08,AB-100601402,OFF-FA-6129,167.94,3,82.29,6.61,0,High,First Class
CA-2014-AB10060140-41884,2014-09-02,2014-09-04,AB-100601406,OFF-PA-6430,24.56,2,11.54,6.53,0,Critical,First Class
MX-2013-PV1898518-41614,2013-12-06,2013-12-08,PV-1898518,TEC-AC-5223,2297.96,14,988.12,483.257,0,High,First Class
IT-2014-SB2029064-41887,2014-09-05,2014-09-07,SB-2029064,TEC-CO-4590,2671.41,7,534.24,483.04,0,High,Second Class
SO-2015-SM10005116-42265,2015-09-18,2015-09-20,SM-10005116,TEC-PH-5839,3834,6,268.38,481.04,0,High,First Class
CA-2014-AB10060140-41884,2014-09-02,2014-09-04,AB-100601406,OFF-PA-6430,49.12,4,23.09,6.22,0,Critical,First Class
IN-2013-KH1633059-41489,2013-08-03,2013-08-08,KH-1633059,OFF-AP-4960,3501.74,8,210.86,479.96,0.17,High,Standard Class
IN-2015-MP181757-42347,2015-12-09,2015-12-11,MP-181757,TEC-PH-3149,1725.46,3,747.61,479.94,0.1,High,First Class
IN-2013-LH1702027-41572,2013-10-25,2013-10-28,LH-1702027,TEC-CO-3597,1583.7,5,174.15,479.67,0,Critical,First Class
CA-2015-AB10060140-42132,2015-05-08,2015-05-13,AB-100601404,TEC-AC-5109,79.99,1,28.8,5.44,0,Medium,Standard Class
ID-2014-CR126257-41878,2014-08-27,2014-08-29,CR-126257,FUR-BO-5763,2760.35,7,-214.73,475.34,0.1,High,Second Class
IN-2012-NC1862511-41041,2012-05-12,2012-05-16,NC-1862511,TEC-AC-3403,3078.72,12,523.08,474.44,0,High,Standard Class
IT-2012-GM1468091-41215,2012-11-02,2012-11-05,GM-1468091,OFF-AP-4745,1983.14,7,-1784.9,473.27,0.5,High,First Class
ES-2015-RA1994545-42218,2015-08-02,2015-08-03,RA-1994545,FUR-BO-3624,1112.78,3,296.66,472,0.1,Critical,First Class
ES-2012-DB1306048-41171,2012-09-19,2012-09-21,DB-1306048,TEC-CO-4789,3616.5,10,36,471.92,0,Critical,Second Class
US-2014-AB10060140-41712,2014-03-14,2014-03-19,AB-100601408,FUR-FU-4762,127.88,2,40.92,3.15,0,Medium,Standard Class
IN-2014-RF197357-41709,2014-03-11,2014-03-15,RF-197357,TEC-PH-5268,2892.11,5,160.61,470.29,0.1,High,Standard Class
ES-2013-JH1582048-41306,2013-02-01,2013-02-04,JH-1582048,TEC-PH-3806,3263.4,5,848.4,469.29,0,High,First Class
US-2014-AB10060140-41712,2014-03-14,2014-03-19,AB-100601408,OFF-BI-4819,46,4,20.7,2.72,0,Medium,Standard Class
MX-2015-DM1295551-42103,2015-04-09,2015-04-13,DM-1295551,FUR-TA-5064,3117.09,13,38.95,466.703,0.2,High,Standard Class
CA-2014-AB10060140-41881,2014-08-30,2014-09-04,AB-100601406,OFF-SU-2972,27.93,3,8.1,2.16,0,Medium,Standard Class
MX-2015-BE1133582-42082,2015-03-19,2015-03-21,BE-1133582,OFF-AP-4745,1888.7,5,887.6,465.918,0,High,First Class
IN-2014-SO2033527-41914,2014-10-02,2014-10-04,SO-2033527,OFF-AP-4502,3000.78,6,1080.18,465.63,0,High,First Class
ES-2014-DK12835120-41651,2014-01-12,2014-01-15,DK-12835120,OFF-AP-4507,3801.63,7,1444.59,465.02,0,Medium,First Class
SA-2015-LC7050110-42236,2015-08-20,2015-08-25,LC-7050110,TEC-PH-3806,5211.12,8,1146.24,463.98,0,Medium,Standard Class
IN-2012-PB19210127-41259,2012-12-16,2012-12-19,PB-19210127,FUR-TA-5065,1356.03,3,311.85,458.97,0,Critical,First Class
IN-2015-CG125207-42077,2015-03-14,2015-03-18,CG-125207,OFF-AP-4745,3569.64,7,674.16,458.54,0.1,High,Standard Class
CA-2013-AB10060140-41535,2013-09-18,2013-09-24,AB-100601404,OFF-PA-6420,18.54,2,8.71,1.69,0,Medium,Standard Class
ID-2015-HG1502559-42194,2015-07-09,2015-07-13,HG-1502559,FUR-BO-5787,2910.08,8,125.12,456.32,0.07,High,Standard Class
ID-2014-AD1018059-41801,2014-06-11,2014-06-15,AD-1018059,FUR-CH-4532,3126.4,9,-128.72,455.71,0.27,High,Standard Class
ES-2012-BP11155139-41130,2012-08-09,2012-08-16,BP-11155139,TEC-PH-3805,5276.99,9,1758.89,454.81,0.1,Medium,Standard Class
ID-2015-AA10480130-42080,2015-03-17,2015-03-21,AA-10480130,TEC-PH-5840,2645.38,5,-0.02,452.6,0.17,High,Standard Class
ID-2014-RL196157-41641,2014-01-02,2014-01-03,RL-196157,FUR-BO-3639,1637.01,5,-36.39,452.28,0.1,Medium,First Class
CA-2014-AB10060140-41884,2014-09-02,2014-09-04,AB-100601406,OFF-BI-2911,3.05,1,1.07,1.67,0.2,Critical,First Class
ID-2013-SW2024559-41557,2013-10-10,2013-10-11,SW-2024559,TEC-PH-5840,2645.38,5,-0.02,451.03,0.17,High,First Class
CA-2014-AB10060140-41884,2014-09-02,2014-09-04,AB-100601406,TEC-AC-5744,6.79,1,2.31,1.31,0,Critical,First Class
IN-2012-BW1111027-41076,2012-06-16,2012-06-18,BW-1111027,FUR-TA-3420,3238.31,5,-740.3,449.18,0.3,High,First Class
ES-2015-YC21895139-42097,2015-04-03,2015-04-05,YC-21895139,FUR-BO-3639,2291.81,7,127.13,448.91,0.1,High,First Class
MX-2012-JM1558082-41045,2012-05-16,2012-05-19,JM-1558082,TEC-PH-5355,2124.5,5,488.6,447.657,0,High,Second Class
BO-2015-MZ733513-42046,2015-02-11,2015-02-15,MZ-733513,FUR-CH-4654,2757.78,6,744.48,446.33,0,High,Second Class
ES-2014-JF15295120-41924,2014-10-12,2014-10-12,JF-15295120,TEC-AC-4185,1549.98,6,139.32,443.92,0,Critical,Same Day
CA-2015-AB10060140-42264,2015-09-17,2015-09-22,AB-100601406,OFF-PA-6596,20.74,4,7.26,1.23,0.2,High,Standard Class
UP-2015-DJ3510137-42202,2015-07-17,2015-07-19,DJ-3510137,OFF-AP-4738,3146.4,6,629.28,443.55,0,Critical,Second Class
ES-2015-MF1825045-42330,2015-11-22,2015-11-28,MF-1825045,TEC-MA-4205,2456.62,11,664.72,442.49,0.15,Low,Standard Class
IT-2012-TC2129545-41058,2012-05-29,2012-06-01,TC-2129545,FUR-TA-4642,2228.64,7,-754.41,440.25,0.35,Critical,First Class
CA-2015-AB10060140-42314,2015-11-06,2015-11-08,AB-100601402,OFF-PA-3114,4.41,1,2.03,1.21,0,High,First Class
IN-2015-CP1234058-42202,2015-07-17,2015-07-20,CP-1234058,OFF-AP-4502,4001.04,8,1440.24,439.65,0,Medium,First Class
ES-2015-EH1412545-42245,2015-08-29,2015-09-03,EH-1412545,TEC-PH-3148,4876.88,9,745.88,439.41,0.15,Medium,Standard Class
IN-2013-NC183407-41634,2013-12-26,2013-12-26,NC-183407,FUR-TA-5054,1788.82,6,204.28,439.03,0.3,Critical,Same Day
IN-2015-BF1100558-42319,2015-11-11,2015-11-15,BF-1100558,OFF-AP-3577,3622.29,7,1267.77,438.89,0,High,Standard Class
ID-2014-JS1603059-41760,2014-05-01,2014-05-04,JS-1603059,FUR-TA-5072,1242.59,5,-140.72,437.85,0.47,Critical,Second Class
ES-2012-AM10360139-41136,2012-08-15,2012-08-20,AM-10360139,TEC-PH-5354,4453.05,7,1424.85,433.41,0,Medium,Standard Class
IN-2015-JF1519021-42341,2015-12-03,2015-12-07,JF-1519021,FUR-TA-4706,2673.36,8,1069.2,432.57,0,High,Standard Class
IN-2014-AB100157-41815,2014-06-25,2014-06-29,AB-100157,FUR-CH-4654,2046.2,5,591.05,432.15,0.1,High,Standard Class
ES-2014-JG15160139-41660,2014-01-21,2014-01-24,JG-15160139,FUR-TA-3344,5451.3,6,2071.44,432.13,0,Medium,Second Class
